cantera_name,range_label,T_low_K,T_high_K,a0,a1,a2,a3,a4,a5,a6,a7,a8
Glycine(aq),high,500.0,643.15,118763.32573955184,-72024.16217671847,-45457.232319921946,709.0237521081596,-2.938365313942235,0.0047470324244826,-2.6809576394878067e-06,-474155.0775363111,139257.46343809812
H2O(l),low,273.16,500.0,-4024.569225267716,6479.469157215554,-70.4029480176136,0.3948395045998736,-0.000998238405711,1.2902992267564825e-06,-6.843976293901905e-10,-52916.29724290288,347.84697048553244
H2O(l),high,500.0,643.15,-17123.736979987763,6470.777558329486,-7.361489177089973,-0.127458197487035,0.000630377961434,-9.844473729109915e-07,5.21863762724002e-10,-58976.513482798495,89.53195244641265
HCN(aq),low,273.16,500.0,-499.8114523689696,-13.21411059540034,132.87035460465503,-0.5853130517774143,0.0001980352574389,2.703814226220355e-06,-3.418352139871142e-09,-149.37850286714863,-593.5370239008424
HCN(aq),high,500.0,643.15,-867.6669005950541,972.7362127502782,1350.3228906421705,-27.77184596394169,0.1485022052833116,-0.000295487694448,1.9858871930589774e-07,-32.0926722632682,-3835.414011330028
Histidine(aq),low,273.16,500.0,2337.106998424524,31688.279680864514,-2252.864148044293,20.85665080819065,-0.0755840770066303,0.0001237886313803,-7.666152445835824e-08,9009.140055047912,9174.316942780197
Histidine(aq),high,500.0,643.15,104607.9775038224,-14555.21025425928,-64498.565265049576,932.0256134191012,-3.771315854827285,0.006019034604681,-3.373374614545372e-06,2046.5908110900452,208169.88588780948
Isoleucine(aq),low,273.16,500.0,-8.06064158599312,311.8009546792937,-741.305962551941,8.000436336046898,-0.0304014448850329,5.135211424461817e-05,-3.2593231957584e-08,12342.3067922274,2826.349735158224
Isoleucine(aq),high,500.0,643.15,-398.71585178662906,-2690.879248327024,-11942.644825589568,173.37854947278402,-0.7118837377533672,0.0011565588436259,-6.606278306832072e-07,10940.131520812276,38691.41444740794
Leucine(aq),low,273.16,500.0,-6656.572400517485,0.7863179751021686,-1169.3799771780334,12.682429749910977,-0.0492743508178228,8.481172098280965e-05,-5.4631401202942735e-08,43632.16833549828,4455.448790724218
Leucine(aq),high,500.0,643.15,-46357.16530651938,-5.114649971277325,-24998.755770425352,349.2223271383724,-1.3949882705928816,0.0022102285991908,-1.2325434750404085e-06,114017.39048891472,82334.73332094587
Lysine(aq),low,273.16,500.0,-8951.128187184015,5659.914377991783,-1933.7807903773285,19.385138727304508,-0.0722591282662996,0.0001200754282373,-7.492007578737343e-08,87231.36271638559,7585.183252722277
Lysine(aq),high,500.0,643.15,177926.44412178642,215.94963382569395,-24630.25918237213,318.84861343965986,-1.237473195431848,0.0019298771231353,-1.0650750047162885e-06,497182.7231774919,84606.25917183497
NH3(aq),low,273.16,500.0,5.604585574222412,1720.628319657521,-118.29027867398008,1.0921147967032514,-0.0036488323152766,5.456022270190695e-06,-3.048263369531726e-09,472.6851707264705,487.0970683192652
NH3(aq),high,500.0,643.15,738.9380016978101,6470.548139524743,3970.8730415701057,-62.29425180581404,0.2660532124655141,-0.0004446173174028,2.598871669261544e-07,994.7673321787636,-12291.105907668716
Phenylalanine(aq),low,273.16,500.0,1990.192696924992,17000.639122686916,-1441.6025730318197,13.972084533107603,-0.0514237143022388,8.520044206899359e-05,-5.328031793310348e-08,6658.704525917784,5771.57575170375
Phenylalanine(aq),high,500.0,643.15,5470.211908176922,13324.644759618008,-16117.808964004287,230.51273921427935,-0.9432380894560592,0.0015304460340759,-8.73700481859482e-07,4743.501787862388,52778.29737224145
Proline(aq),low,273.16,500.0,-88.78187191382379,172.85956896859545,-365.54872506674536,2.9950908916644265,-0.0079317250693661,8.204969646625542e-06,-2.369856550492806e-09,331.3091131255619,1500.1840761441774
Proline(aq),high,500.0,643.15,309.04664519958146,961.493043120806,-846.8784394731866,21.79669404707589,-0.1331548699447129,0.0002876101666755,-2.04216659140648e-07,298.45308382235817,2258.950487220311
Serine(aq),low,273.16,500.0,-2088.068287232499,38844.53297738097,-2099.6073169011784,18.761551147209783,-0.0672998875779179,0.0001096633222289,-6.766271861368904e-08,-74688.58160455793,8679.117025803816
Serine(aq),high,500.0,643.15,3612.2503753054666,19100.31000650828,-41243.84628833582,579.0181712001169,-2.325881551814347,0.0037039178206498,-2.0754015922074654e-06,83107.23593408,135709.1256221819
Threonine(aq),low,273.16,500.0,-2.2110423527232714,1359.364858531037,-818.8718331983507,8.111394826290507,-0.0292807911886528,4.717194499346664e-05,-2.8643196897547752e-08,1205.997259833017,3215.2977873275195
Threonine(aq),high,500.0,643.15,-7738.995640739476,-17826.714850571512,-14076.81289718443,209.7125443546628,-0.8677172360273853,0.0014143225761917,-8.090813406166934e-07,171.47858664610402,44803.64821241174
Tryptophan(aq),low,273.16,500.0,-172.87789263652115,20242.7159454092,-1461.8789580878931,13.828531210732912,-0.0499878114518749,8.161869138980064e-05,-5.043809394307554e-08,5540.095799911599,5904.668695928885
Tryptophan(aq),high,500.0,643.15,1333.9453368202055,28359.86885314574,-8751.154938497571,125.38846397697164,-0.5351662750268776,0.0009111038376422,-5.454848991649728e-07,4577.039596027632,29262.90182014596
Tyrosine(aq),low,273.16,500.0,49.18418341700336,10582.618556538897,-1165.5583116031207,10.669426909520023,-0.0362944280382061,5.53694716776849e-05,-3.1878388887857964e-08,2004.567362331818,4712.194678477956
Tyrosine(aq),high,500.0,643.15,-4635.096370989951,8743.972243356531,-13051.38662678928,185.44311392965847,-0.7554765496082206,0.0012215234523349,-6.952545553111115e-07,496.24325516055984,42860.70326209864
Valine(aq),low,273.16,500.0,42.732946134033625,1057.0571005486645,-640.0938304682597,6.683475652948265,-0.0247961808100886,4.10381827792531e-05,-2.5610535820938397e-08,1737.3876189092766,2471.0066178247907
