T_K,Alanine(aq),Arginine(aq),Asparagine(aq),AsparticAcid(aq),C2H2(aq),GlutamicAcid(aq),Glutamine(aq),Glycine(aq),H2O(l),HCN(aq),Histidine(aq),Isoleucine(aq),Leucine(aq),Lysine(aq),NH3(aq),Phenylalanine(aq),Proline(aq),Serine(aq),Threonine(aq),Tryptophan(aq),Tyrosine(aq),Valine(aq)
373.15,-385190.07547919353,-267932.04285805544,-544669.0666506643,-740630.3500422328,205966.84458206783,-745118.8581044012,-549862.5737125239,-383251.2907784061,-243083.68543859327,108973.23468100176,-225668.6073473903,-362086.7580940597,-371679.31815114734,-358381.0549906804,-35500.201983896295,-228185.4172339505,-325252.700965501,-534626.2026186673,-517278.1724022913,-134887.29960061144,-406018.3638895715,-374176.3460429056
383.15,-387216.1847354872,-272072.96201434685,-547511.9767198955,-743380.4992710479,204259.18807170156,-748209.8558294051,-553020.9220563361,-385010.7752755197,-243961.57279800565,107376.65675943096,-229097.11550691957,-365107.9810546018,-374762.904454869,-361546.6476441338,-36773.421173709015,-231546.5697067469,-327858.4431080176,-536970.866027942,-519695.3955081903,-138458.5988348238,-409423.9678304566,-376861.7758953917
393.15,-389289.3132591968,-276306.30689296685,-550406.6396176681,-746184.759968565,202505.0474628989,-751363.7070707052,-556244.659943132,-386793.0974262121,-244859.09379446312,105744.84122218986,-232603.6695276209,-368233.46796808,-377954.1375632706,-364799.1700071022,-38068.77382073866,-235019.0915541434,-330525.8221888037,-539360.3474802283,-522177.9914056134,-142149.3629571055,-412936.6054654065,-379633.4998396523
403.15,-391408.1665976138,-280629.6349576024,-553351.7753998276,-749041.8668990934,200705.55710615063,-754578.8004599806,-559532.133000948,-388597.637286251,-245775.7541846435,104078.97315966112,-236186.141396086,-371460.2588683268,-381249.9482825836,-368136.5017334848,-39385.74282137679,-238599.88928835103,-333253.2801168361,-541793.5292110827,-524724.2405054119,-145956.2400259416,-416553.6232679045,-382489.0633939428
413.15,-393571.3879060355,-285040.4098375544,-556345.9846721708,-751950.4420056674,198861.6682328714,-757853.4410956191,-562881.5863350081,-390423.6657928184,-246711.07986324964,102380.13844445134,-239842.30622642592,-374785.4366520547,-384647.3171016639,-371556.46408347326,-40723.82372470592,-242285.8789129445,-336039.1842579044,-544269.2011283869,-527332.3854265438,-149875.87157198816,-420272.3077862758,-385426.0262279894
423.15,-395777.56383747136,-289536.0132288952,-559387.7643674733,-754909.0117122218,196974.1624489245,-761185.8621102595,-566291.1784658164,-392270.35573707736,-247664.61478837265,100649.33926721102,-243569.85201511625,-378206.1196471326,-388143.2655975118,-375056.8331304021,-42082.52604753309,-246073.98364662108,-338881.8385281068,-546786.0729705296,-530000.636669764,-153904.89109793544,-424089.8994234012,-388441.9579741727
433.15,-398025.2295382622,-294113.75706371653,-562475.5207410144,-757916.0213868045,195043.653225056,-764574.2359648965,-569758.9941180116,-394136.7892135448,-248635.91966281072,98887.50169104678,-247366.38832629955,-381719.459875885,-391734.8539208387,-378635.3539716006,-43461.37607080182,-249961.13656850863,-341779.4939165524,-549342.7840238749,-532727.1791718024,-158039.92814834893,-428003.60770013416,-391534.43781940895
443.15,-400312.86819604976,-298770.8864052366,-565607.5741479251,-760969.841845681,193070.58120325243,-768016.6785753759,-573283.0489273531,-396021.9587622552,-249624.57112743933,97095.48063557796,-251229.44628765268,-385322.63762422185,-395419.1747131459,-382289.7477563028,-44859.91910999632,-253944.27769513128,-344730.3523230012,-551937.906225361,-535510.1736427658,-162277.6055964978,-432010.6182563216,-394701.05003338
453.15,-402638.9062764768,-303504.5754666994,-568782.157482207,-764068.7698591166,191055.2029302125,-771511.2481704766,-576861.2881183443,-397924.76327255904,-250630.16126682595,95274.06230158458,-255156.47179944027,-389012.8536022184,-399193.3447197142,-386017.7138697936,-46277.72174860447,-258020.3472659997,-347732.5654765618,-554569.9421135343,-538347.7541423307,-166614.53225339696,-436108.09425446327,-397939.37660976977
463.15,-405001.70392767736,-308311.9159187415,-571997.4078938264,-767211.0224250631,188997.57308357043,-775055.9383632425,-580491.5786503493,-399843.99830776633,-251652.2973019593,93423.96475327986,-259144.8111314665,-392787.3175897362,-403054.49293972354,-389816.926870578,-47714.37400381671,-262186.2741224912,-350784.2285045711,-557237.3173133702,-541238.0213727673,-171047.2894783964,-440293.1716313,-401246.9860725496
