amino_acid,NH3_frac,source_batch,ratio_snap,X_eq,log10_X_eq,formation_call,n_eq_mol,HCN_mol,C2H2_mol,yield_fraction_HCN,yield_pct_HCN
asparticacid,0.01,B_nh3,2.083333333333333,0.0072347266881028,-2.140577870915481,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0158333333333333,B_nh3,2.083333333333333,0.0071942446043165,-2.143014800254098,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0216666666666666,B_nh3,2.083333333333333,0.0071542130365659,-2.14543813166993,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0274999999999999,B_nh3,2.083333333333333,0.0071146245059288,-2.147848016072515,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0333333333333333,B_nh3,2.083333333333333,0.0070754716981132,-2.1502446018730708,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0391666666666666,B_nh3,2.083333333333333,0.0070367474589523,-2.1526280350393296,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.045,B_nh3,2.083333333333333,0.0069984447900466,-2.154998459148882,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0508333333333333,B_nh3,2.083333333333333,0.0069605568445475,-2.157356015441073,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0566666666666666,B_nh3,2.083333333333333,0.0069230769230769,-2.159700842867513,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0624999999999999,B_nh3,2.083333333333333,0.0068859984697781,-2.1620330781412207,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0683333333333333,B_nh3,2.083333333333333,0.0068493150684931,-2.1643528557844403,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0741666666666666,B_nh3,2.083333333333333,0.0068130204390613,-2.1666603081752034,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0799999999999999,B_nh3,2.083333333333333,0.0067771084337349,-2.168955565592676,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0858333333333333,B_nh3,2.083333333333333,0.0067415730337078,-2.1712387562612734,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0916666666666666,B_nh3,2.083333333333333,0.0067064083457526,-2.173510006393649,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.0974999999999999,B_nh3,2.083333333333333,0.0066716085989621,-2.1757694402325853,significant,0.0074999999999998,0.02,0.0416666666666666,0.37499999999999,37.499999999999
asparticacid,0.1033333333333333,B_nh3,2.083333333333333,0.0066371681415929,-2.178017180091721,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1091666666666666,B_nh3,2.083333333333333,0.0066030814380044,-2.180253346395349,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1149999999999999,B_nh3,2.083333333333333,0.0065693430656934,-2.182478057717084,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1208333333333333,B_nh3,2.083333333333333,0.0065359477124183,-2.184691430817599,significant,0.0075,0.02,0.0416666666666666,0.375,37.5
asparticacid,0.1266666666666666,B_nh3,2.083333333333333,0.0065028901734104,-2.1868935806814145,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1324999999999999,B_nh3,2.083333333333333,0.00647016534867,-2.189084620552723,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1383333333333333,B_nh3,2.083333333333333,0.0064377682403433,-2.191264661970341,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.1441666666666666,B_nh3,2.083333333333333,0.0064056939501779,-2.193433814801776,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
asparticacid,0.15,B_nh3,2.083333333333333,0.0063739376770538,-2.195592187276462,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
glutamicacid,0.0,A_no_nh3,2.083333333333333,0.0,,below_threshold,0.0,0.02,0.0416666666666666,0.0,0.0
glutamicacid,0.01,B_nh3,2.083333333333333,0.0083546066372708,-2.078073993321082,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0158333333333333,B_nh3,2.083333333333333,0.0083073727933541,-2.080536300132591,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0216666666666666,B_nh3,2.083333333333333,0.0082606700321248,-2.082984725142951,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0274999999999999,B_nh3,2.083333333333333,0.0082144894466628,-2.0854194239985486,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0333333333333333,B_nh3,2.083333333333333,0.0081688223281143,-2.087840549742635,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0391666666666666,B_nh3,2.083333333333333,0.0081236601602166,-2.090248252873056,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.045,B_nh3,2.083333333333333,0.0080789946140035,-2.0926426813983903,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamicacid,0.0508333333333333,B_nh3,2.083333333333333,0.0080348175426849,-2.0950239808925257,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0566666666666666,B_nh3,2.083333333333333,0.0079911209766925,-2.097392294547798,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0624999999999999,B_nh3,2.083333333333333,0.0079478971188872,-2.099747763226637,significant,0.0085714285714284,0.02,0.0416666666666666,0.42857142857142,42.857142857142
glutamicacid,0.0683333333333333,B_nh3,2.083333333333333,0.0079051383399209,-2.1020905255118394,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0741666666666666,B_nh3,2.083333333333333,0.0078628371737468,-2.104420717755517,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0799999999999999,B_nh3,2.083333333333333,0.0078209863132739,-2.10673847412669,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0858333333333333,B_nh3,2.083333333333333,0.0077795786061588,-2.109043926657656,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
glutamicacid,0.0916666666666666,B_nh3,2.083333333333333,0.0077386070507308,-2.1113372052891277,significant,0.0085714285714285,0.02,0.0416666666666666,0.42857142857142505,42.857142857142506
