study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance,amino_acid
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009312499896623,1.0,0.02,0.0958333333333333,0.0,4.791666666666667,0.0,ALA_INV_000024,0.0189423835832675,-1.7225653731718369,0.0199999999999999,-1.69897000433602,True,significant,ok,,2.9442378553595284e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008782079967204,1.0,0.02,0.1,0.0,5.0,0.0,ALA_INV_000025,0.0188679245283018,-1.7242758696007912,0.0199999999999999,-1.6989700043360203,True,significant,ok,,4.3989968900242e-15,False,alanine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),M_d1e729cbd51f,0.0,101325.0,0.004553291000775,1.0,0.02,0.042,0.0,2.1,-200.0,ARG_DG_000001,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),M_76b51f3c44c6,0.0,101325.0,0.0044692919909721,1.0,0.02,0.042,0.0,2.1,-160.0,ARG_DG_000002,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),M_1d20c473ca84,0.0,101325.0,0.0047024579980643,1.0,0.02,0.042,0.0,2.1,-120.0,ARG_DG_000003,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),M_2b60a948ccc1,0.0,101325.0,0.0045406660065054,1.0,0.02,0.042,0.0,2.1,-80.0,ARG_DG_000004,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),M_9176e9278e3f,0.0,101325.0,0.0047876250027911,1.0,0.02,0.042,0.0,2.1,-40.0,ARG_DG_000005,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),M_d004f5f9d440,0.0,101325.0,0.0044297080021351,1.0,0.02,0.042,0.0,2.1,0.0,ARG_DG_000006,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),M_837873d9c3ce,0.0,101325.0,0.0044661669962806,1.0,0.02,0.042,0.0,2.1,40.0,ARG_DG_000007,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),M_55d67ea23f1f,0.0,101325.0,0.0047576669894624,1.0,0.02,0.042,0.0,2.1,80.0,ARG_DG_000008,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),M_529b3e75a6f1,0.0,101325.0,0.0045070830092299,1.0,0.02,0.042,0.0,2.1,120.0,ARG_DG_000009,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),M_b72d9a57c241,0.0,101325.0,0.0045649999956367,1.0,0.02,0.042,0.0,2.1,160.0,ARG_DG_000010,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),M_f72005ef8c75,0.0,101325.0,0.0047046249965205,1.0,0.02,0.042,0.0,2.1,200.0,ARG_DG_000011,0.0,,0.0,,False,below_threshold,ok,,2.718060135617141e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0053640830010408,1.0,0.02,0.0,0.0,0.0,0.0,ARG_INV_000001,0.0,,0.0,,False,below_threshold,ok,,0.0,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0009959579911082,1.0,0.02,0.0041666666666666,0.0,0.2083333333333333,0.0,ARG_INV_000002,0.0,,0.0,,False,below_threshold,ok,,1.0840257360050348e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0009302500111516,1.0,0.02,0.0083333333333333,0.0,0.4166666666666667,0.0,ARG_INV_000003,0.0,,0.0,,False,below_threshold,ok,,5.182240374263281e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0011629580112639,1.0,0.02,0.0125,0.0,0.625,0.0,ARG_INV_000004,0.0,,0.0,,False,below_threshold,ok,,3.2258296115016613e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008789160056039,1.0,0.02,0.0166666666666666,0.0,0.8333333333333334,0.0,ARG_INV_000005,0.0,,0.0,,False,below_threshold,ok,,1.4993365605870281e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008711670088814,1.0,0.02,0.0208333333333333,0.0,1.0416666666666667,0.0,ARG_INV_000006,0.0,,0.0,,False,below_threshold,ok,,3.8400027753248004e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008534170046914,1.0,0.02,0.025,0.0,1.25,0.0,ARG_INV_000007,0.0,,0.0,,False,below_threshold,ok,,2.3373116307898006e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008417079952778,1.0,0.02,0.0291666666666666,0.0,1.4583333333333337,0.0,ARG_INV_000008,0.0,,0.0,,False,below_threshold,ok,,2.962946276998033e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008779999916441,1.0,0.02,0.0333333333333333,0.0,1.6666666666666667,0.0,ARG_INV_000009,0.0,,0.0,,False,below_threshold,ok,,8.432073604748025e-16,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0009354159992653,1.0,0.02,0.0375,0.0,1.875,0.0,ARG_INV_000010,0.0,,0.0,,False,below_threshold,ok,,1.4697988032862584e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0010336670093238,1.0,0.02,0.0416666666666666,0.0,2.083333333333333,0.0,ARG_INV_000011,0.0,,0.0,,False,below_threshold,ok,,3.555502308061724e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0009084579942282,1.0,0.02,0.0458333333333333,0.0,2.291666666666667,0.0,ARG_INV_000012,0.0,,0.0,,False,below_threshold,ok,,4.791580215739532e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008711249975021,1.0,0.02,0.05,0.0,2.5,0.0,ARG_INV_000013,0.0,,0.0,,False,below_threshold,ok,,1.4526282565188959e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008640409942017,1.0,0.02,0.0541666666666666,0.0,2.708333333333333,0.0,ARG_INV_000014,0.0,,0.0,,False,below_threshold,ok,,1.8604202740033653e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008455409988528,1.0,0.02,0.0583333333333333,0.0,2.916666666666667,0.0,ARG_INV_000015,0.0,,0.0,,False,below_threshold,ok,,1.0295731294823705e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008379579958273,1.0,0.02,0.0625,0.0,3.125,0.0,ARG_INV_000016,0.0,,0.0,,False,below_threshold,ok,,4.10244073764492e-16,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0010764999897219,1.0,0.02,0.0666666666666666,0.0,3.333333333333333,0.0,ARG_INV_000017,0.0,,0.0,,False,below_threshold,ok,,1.6346842080370401e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008575829997425,1.0,0.02,0.0708333333333333,0.0,3.541666666666667,0.0,ARG_INV_000018,0.0,,0.0,,False,below_threshold,ok,,4.885320566723376e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008217910071834,1.0,0.02,0.075,0.0,3.75,0.0,ARG_INV_000019,0.0,,0.0,,False,below_threshold,ok,,2.0278046111875007e-16,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.000852000011946,1.0,0.02,0.0791666666666666,0.0,3.9583333333333335,0.0,ARG_INV_000020,0.0,,0.0,,False,below_threshold,ok,,1.212070625822764e-15,False,arginine
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,101325.0,0.0008340000058524,1.0,0.02,0.0833333333333333,0.0,4.166666666666667,0.0,ARG_INV_000021,0.0,,0.0,,False,below_threshold,ok,,3.018733299585017e-15,False,arginine
